branch_id,branch_category,branch_name,kota,provinsi,rating
26125,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Denpasar,Bali,4.6
73954,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Payakumbuh,Sumatera Barat,4.4
63163,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Lhokseumawe,Aceh,4.6
35391,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palembang,Sumatera Selatan,4.5
90913,Apotek,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.8
93864,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Gorontalo,Gorontalo,4.5
83398,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bontang,Kalimantan Timur,4.5
59763,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Indramayu,Jawa Barat,4.5
63942,Apotek,Kimia Farma - Apotek,Bandung,Jawa Barat,5
48300,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Semarang,Jawa Tengah,4.2
25945,Apotek,Kimia Farma - Apotek,Padang,Sumatera Barat,4.1
99291,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,4.2
48388,Apotek,Kimia Farma - Apotek,Palangkaraya,Kalimantan Tengah,4
28795,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Magelang,Jawa Tengah,4
16336,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Sukabumi,Jawa Barat,4.5
42026,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,4.4
17977,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.5
17543,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palu,Sulawesi Tengah,4.4
14756,Apotek,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.3
86446,Apotek,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.1
79358,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Sukabumi,Jawa Barat,4.3
55077,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,4.1
97362,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Samarinda,Kalimantan Timur,4.6
39578,Apotek,Kimia Farma - Apotek,Ambon,Maluku,4.7
68056,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4.8
78746,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tangerang,Banten,4.5
41213,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,4.3
53383,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.6
17563,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Probolinggo,Jawa Timur,4
98258,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.2
59275,Apotek,Kimia Farma - Apotek,Garut,Jawa Barat,4.6
61804,Apotek,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.4
44632,Apotek,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.5
89156,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pontianak,Kalimantan Barat,4
17602,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Payakumbuh,Sumatera Barat,4.5
67118,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,4.7
24273,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jakarta,DKI Jakarta,4.6
71722,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4.3
61921,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tomohon,Sulawesi Utara,4.7
11869,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,4.7
14433,Apotek,Kimia Farma - Apotek,Gorontalo,Gorontalo,4
58202,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Manado,Sulawesi Utara,3.9
79232,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,4.8
81108,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,4
27998,Apotek,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.3
21680,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,4.4
15980,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Makassar,Sulawesi Selatan,4.2
32238,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.3
55980,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cikampek,Jawa Barat,4.6
31016,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,4.4
59354,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.3
15917,Apotek,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.8
48130,Apotek,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.7
40117,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Dumai,Riau,4.7
50346,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,4.2
87583,Apotek,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.6
32320,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,4.7
65902,Apotek,Kimia Farma - Apotek,Balikpapan,Kalimantan Timur,4.2
45072,Apotek,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.7
32801,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Bogor,Jawa Barat,4.4
37915,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cianjur,Jawa Barat,3.9
90334,Apotek,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4.4
96172,Apotek,Kimia Farma - Apotek,Tangerang,Banten,3.9
92148,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bogor,Jawa Barat,4.5
61626,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,4.8
91100,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,4.5
92598,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bontang,Kalimantan Timur,4.4
13935,Apotek,Kimia Farma - Apotek,Tebing Tinggi,Sumatera Utara,4.5
46514,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Solok,Sumatera Barat,3.9
94007,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.6
36275,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.8
31706,Apotek,Kimia Farma - Apotek,Cirebon,Jawa Barat,4.1
19169,Apotek,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.5
57196,Apotek,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.8
23471,Apotek,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.3
18484,Apotek,Kimia Farma - Apotek,Karawang,Jawa Barat,4
85310,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jakarta,DKI Jakarta,3.9
70637,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tarakan,Kalimantan Utara,4.5
94753,Apotek,Kimia Farma - Apotek,Pontianak,Kalimantan Barat,4.2
67306,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Semarang,Jawa Tengah,4.1
59017,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwokerto,Jawa Tengah,4.7
52148,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,3.9
94359,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.6
78489,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Kotamobagu,Sulawesi Utara,4.9
83839,Apotek,Kimia Farma - Apotek,Langsa,Aceh,4.9
23145,Apotek,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.3
54826,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.1
30291,Apotek,Kimia Farma - Apotek,Manado,Sulawesi Utara,4.9
44780,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ambon,Maluku,4.5
49258,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4.9
99977,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,4.7
67427,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4.9
37158,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Semarang,Jawa Tengah,4.2
99182,Apotek,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.6
37995,Apotek,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4.4
38076,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.5
61610,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4.3
61764,Apotek,Kimia Farma - Apotek,Kupang,Nusa Tenggara Timur,4.7
35572,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.6
41125,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Padang,Sumatera Barat,4.1
26358,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.7
37690,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bandung,Jawa Barat,4.3
47725,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,4.3
90260,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,4
68446,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Lubuklinggau,Sumatera Selatan,4
18959,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,4.8
69548,Apotek,Kimia Farma - Apotek,Tangerang,Banten,4
93387,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4.2
15450,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pontianak,Kalimantan Barat,4.8
48635,Apotek,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.3
13270,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jambi,Jambi,4.8
40120,Apotek,Kimia Farma - Apotek,Jayapura,Papua,3.9
51833,Apotek,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.2
47268,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.6
60189,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,4.6
42820,Apotek,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.1
55209,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cianjur,Jawa Barat,4.8
52852,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Palembang,Sumatera Selatan,4.3
51160,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lhokseumawe,Aceh,4.9
53507,Apotek,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.5
25090,Apotek,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.1
39160,Apotek,Kimia Farma - Apotek,Garut,Jawa Barat,4.5
21583,Apotek,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.9
87796,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.1
11079,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwokerto,Jawa Tengah,4.7
93630,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.2
89204,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kuningan,Jawa Barat,4.9
40552,Apotek,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.6
69110,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,4.9
63092,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,3.9
12056,Apotek,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.5
86997,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.3
59784,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Purwokerto,Jawa Tengah,4.7
34804,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palangkaraya,Kalimantan Tengah,4.4
29922,Apotek,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,3.9
21410,Apotek,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.2
26165,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,4.5
89314,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Malang,Jawa Timur,4.8
37734,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.6
90421,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cianjur,Jawa Barat,4.4
49725,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bogor,Jawa Barat,4.8
60888,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.1
76170,Apotek,Kimia Farma - Apotek,Tangerang,Banten,4.3
95231,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ciamis,Jawa Barat,4
79725,Apotek,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.8
52020,Apotek,Kimia Farma - Apotek,Banda Aceh,Aceh,4.4
57621,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4.9
26356,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tanjungpinang,Kepulauan Riau,4.9
53421,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.3
70567,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.8
52192,Apotek,Kimia Farma - Apotek,Karawang,Jawa Barat,4.2
80412,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.8
24713,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Probolinggo,Jawa Timur,4.1
55171,Apotek,Kimia Farma - Apotek,Ambon,Maluku,5
85216,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4
15815,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,4.8
59765,Apotek,Kimia Farma - Apotek,Garut,Jawa Barat,4.1
96210,Apotek,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.1
15391,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.2
99485,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cilacap,Jawa Tengah,4.8
23991,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,4.6
81965,Apotek,Kimia Farma - Apotek,Denpasar,Bali,3.9
54078,Apotek,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,4.7
15267,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cilacap,Jawa Tengah,4.7
21858,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pariaman,Sumatera Barat,4.4
28136,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Magelang,Jawa Tengah,3.9
15418,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,4.9
20554,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.2
98715,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pangkalpinang,Bangka Belitung,4.5
27256,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4
66696,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,4
84347,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Karawang,Jawa Barat,4.2
33091,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Palembang,Sumatera Selatan,4.1
78724,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,4.7
85206,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pangkalpinang,Bangka Belitung,4.5
49403,Apotek,Kimia Farma - Apotek,Kuningan,Jawa Barat,3.9
12369,Apotek,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.4
37062,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Magelang,Jawa Tengah,4.4
70656,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tomohon,Sulawesi Utara,4.8
74029,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4.4
12414,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tangerang,Banten,3.9
83975,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4
23576,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.5
38462,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palangkaraya,Kalimantan Tengah,4.6
40255,Apotek,Kimia Farma - Apotek,Subang,Jawa Barat,4
91435,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Madiun,Jawa Timur,4.6
39499,Apotek,Kimia Farma - Apotek,Denpasar,Bali,4.5
46533,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.4
33317,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Balikpapan,Kalimantan Timur,4.2
11400,Apotek,Kimia Farma - Apotek,Ambon,Maluku,4.1
82894,Apotek,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.5
13755,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pariaman,Sumatera Barat,4.7
82928,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,4.6
58978,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwokerto,Jawa Tengah,4.2
17510,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Madiun,Jawa Timur,5
46337,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4.4
70860,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,3.9
55156,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ambon,Maluku,4.6
68330,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Magelang,Jawa Tengah,4.6
75963,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Padang Sidempuan,Sumatera Utara,4.1
66939,Apotek,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4
17447,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Palangkaraya,Kalimantan Tengah,4.6
36687,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Makassar,Sulawesi Selatan,4.3
97974,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ambon,Maluku,4.4
75976,Apotek,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4
49584,Apotek,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.6
35746,Apotek,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.5
56918,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,3.9
76433,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,4.1
55568,Apotek,Kimia Farma - Apotek,Medan,Sumatera Utara,4.9
15943,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Surabaya,Jawa Timur,4.7
57503,Apotek,Kimia Farma - Apotek,Subang,Jawa Barat,4.6
28422,Apotek,Kimia Farma - Apotek,Pariaman,Sumatera Barat,3.9
48257,Apotek,Kimia Farma - Apotek,Bandung,Jawa Barat,4.7
51267,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,4.6
42307,Apotek,Kimia Farma - Apotek,Dumai,Riau,4.6
48250,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Semarang,Jawa Tengah,4.4
66525,Apotek,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.7
92936,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ciamis,Jawa Barat,4.9
85805,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Yogyakarta,DI Yogyakarta,4.5
13307,Apotek,Kimia Farma - Apotek,Jambi,Jambi,4.7
13490,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Bitung,Sulawesi Utara,4.2
21909,Apotek,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,4.9
25390,Apotek,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.9
89035,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cianjur,Jawa Barat,4.6
46551,Apotek,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.8
40926,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palangkaraya,Kalimantan Tengah,4.2
92004,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,4.4
64642,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,4.7
74030,Apotek,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.5
90726,Apotek,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.8
98811,Apotek,Kimia Farma - Apotek,Bontang,Kalimantan Timur,4.9
24913,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.2
57974,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Medan,Sumatera Utara,4.9
38580,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pangkalpinang,Bangka Belitung,4.2
71261,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4
81651,Apotek,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2
40344,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Bekasi,Jawa Barat,5
